id,account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd
1,1001,2015-10-06T17:31:14.000Z,123,22,24,169,613.77,164.78,194.88,973.43
2,1001,2015-11-05T03:34:33.000Z,190,41,57,288,948.10,307.09,462.84,1718.03
3,1001,2015-12-04T04:21:55.000Z,85,47,,132,424.15,352.03,0.00,776.18
4,1001,2016-01-02T01:18:24.000Z,144,32,,176,718.56,239.68,0.00,958.24
5,1001,2016-02-01T19:27:27.000Z,108,29,28,165,538.92,217.21,227.36,983.49
6,1001,2016-03-02T15:29:32.000Z,103,24,46,173,513.97,179.76,373.52,1067.25
7,1001,2016-04-01T11:20:18.000Z,101,33,92,226,503.99,247.17,747.04,1498.20
8,1001,2016-05-01T15:55:51.000Z,95,47,151,293,474.05,352.03,1226.12,2052.20
9,1001,2016-05-31T21:22:48.000Z,91,16,22,129,454.09,119.84,178.64,752.57
10,1001,2016-06-30T12:32:05.000Z,94,46,8,148,469.06,344.54,64.96,878.56
11,1001,2016-07-30T03:26:30.000Z,101,36,,137,503.99,269.64,0.00,773.63
12,1001,2016-08-28T07:13:39.000Z,124,33,39,196,618.76,247.17,316.68,1182.61
13,1001,2016-09-26T23:28:25.000Z,104,10,44,158,518.96,74.90,357.28,951.14
14,1001,2016-10-26T20:31:30.000Z,97,143,54,294,484.03,1071.07,438.48,1993.58
15,1001,2016-11-25T23:21:32.000Z,127,39,44,210,633.73,292.11,357.28,1283.12
16,1001,2016-12-24T05:53:13.000Z,123,127,19,269,613.77,951.23,154.28,1719.28
17,1011,2016-12-21T10:59:34.000Z,527,14,,541,2629.73,104.86,0.00,2734.59
18,1021,2015-10-12T02:21:56.000Z,516,23,,539,2574.84,172.27,0.00,2747.11
19,1021,2015-11-11T07:37:01.000Z,497,61,,558,2480.03,456.89,0.00,2936.92
20,1021,2015-12-11T16:53:18.000Z,483,,21,504,2410.17,0.00,170.52,2580.69
